id,x,y,z,type
0,558515.0,4867230.0,395.32000732421875,inlet
1,558513.9900447575,4867233.9645384755,394.96604935991354,junction
2,558513.478581667,4867235.475756131,394.949166666757,junction
3,558512.4238859273,4867238.606267191,394.91807864365893,junction
4,558510.2016995671,4867245.224195892,394.8493706952324,junction
5,558508.9411817284,4867248.996091914,394.8107306036787,junction
6,558508.491518492,4867250.333050499,394.79731004689165,junction
7,558507.0089516891,4867254.879505838,394.75518684572273,junction
8,558505.5155771393,4867259.381186547,394.7110239635301,junction
9,558504.0108448972,4867263.872666634,394.6658996019206,junction
10,558503.4961226372,4867265.417034023,394.6520731994199,junction
11,558502.0279414733,4867269.924706143,394.61103848227157,junction
12,558500.5349845991,4867274.394206251,394.5675191430621,junction
13,558499.040485658,4867278.878565567,394.5261215685498,junction
14,558498.0533458705,4867281.967335825,394.50135200121093,junction
15,558497.0643048818,4867284.947898563,394.47271564950836,junction
16,558495.5808936652,4867289.406761811,394.4330360338545,junction
17,558494.1291656048,4867293.896613286,394.3960681374293,junction
18,558493.1647636235,4867296.82276806,394.37083569727145,junction
19,558492.1563189467,4867299.819323177,394.34569429654755,junction
20,558490.6532003818,4867304.419677381,394.3107686774709,junction
21,558489.1625271394,4867308.900793449,394.27306588927934,junction
22,558488.2387069656,4867311.843557922,394.2507023068021,junction
23,558487.2274637352,4867314.85473251,394.22555334960975,junction
24,558485.7157430808,4867319.434303218,394.18743618056396,junction
25,558484.255049645,4867323.926464724,394.15312000482913,junction
26,558483.2656431643,4867326.849017269,394.1278662498034,junction
27,558482.2578470194,4867329.755462283,394.10856175274023,junction
28,558480.7975631319,4867334.240259882,394.075202791736,junction
29,558479.2379494391,4867338.927699791,394.0383959279244,junction
30,558478.2853154168,4867341.85054999,394.014361696441,junction
31,558477.3234787072,4867344.780499204,393.9947053636871,junction
32,558475.8360961619,4867349.248763642,393.9605534499931,junction
33,558474.2749039844,4867353.93886028,393.93032580434186,junction
34,558473.2710615227,4867356.842871353,393.9068099245613,junction
35,558472.3313828913,4867359.760751589,393.8849918466186,junction
36,558470.7863012553,4867364.458708381,393.85202424279515,junction
37,558469.3536304253,4867368.809603845,393.8191496355846,junction
38,558468.4192985842,4867371.706874977,393.80282790703285,junction
39,558467.7510930808,4867373.740744191,393.7876669432933,junction
40,558465.8857855983,4867379.321537646,393.7540428446968,junction
41,558464.4568919049,4867383.664264009,393.72124566324436,junction
42,558463.3595781932,4867386.960555261,393.6990601347051,junction
43,558462.4194563542,4867389.869862386,393.68136687553084,junction
44,558461.0023501056,4867394.183165841,393.65028266070385,junction
45,558459.4112097903,4867398.987432505,393.61814167322524,junction
46,558458.4249677046,4867401.895401012,393.60292091480056,junction
47,558457.4560552386,4867404.71350907,393.58251420382203,junction
48,558455.9420261355,4867409.509647152,393.553372168469,junction
49,558454.5185704677,4867413.808379401,393.52554784901895,junction
50,558453.4091843291,4867417.257974601,393.50555680343723,junction
51,558452.9892626246,4867418.558272559,393.4970668078487,junction
52,558451.0934117477,4867424.136189645,393.46196089014643,junction
53,558449.49253771,4867429.015982859,393.4326332512964,junction
54,558448.0793031047,4867433.356366292,393.40547492458,junction
55,558447.6111504234,4867434.736007511,393.3967778279521,junction
56,558446.0046019427,4867439.53213931,393.37021919864435,junction
57,558444.5726218262,4867443.829481178,393.3465805150143,junction
58,558443.4184627528,4867447.272163513,393.32682671061394,junction
59,558443.0035783738,4867448.567473544,393.31887312876984,junction
60,558441.1686050355,4867454.258615434,393.2858429838669,junction
61,558439.5702424212,4867459.0454700235,393.2585649518149,junction
62,558438.1069376805,4867463.329086882,393.2350088342156,junction
63,558437.6870131495,4867464.69917939,393.22578046100335,junction
64,558436.1065350998,4867469.5701505635,393.20050107383884,junction
65,558434.7078485575,4867473.880518644,393.1757411331647,junction
66,558433.1514017711,4867478.564477717,393.1529814569373,junction
67,558431.111627108,4867484.628318187,393.11717558622354,junction
68,558429.7278202251,4867488.939223911,393.0949339195776,junction
69,558428.192718849,4867493.641640785,393.0726662270192,junction
70,558426.2689939109,4867499.208381341,393.04279231024975,junction
71,558424.7186086753,4867503.938441099,393.0197569812875,junction
72,558423.1829892872,4867508.643011606,392.99427215614884,junction
73,558421.3695123408,4867514.245828578,392.9650933492119,junction
74,558419.7485417873,4867518.951644023,392.9445953385035,junction
75,558418.218565303,4867523.658179797,392.9199773561949,junction
76,558416.4129324215,4867529.261382386,392.8919391869135,junction
77,558414.8325298713,4867533.983633548,392.86944403238175,junction
78,558413.2652135042,4867538.676580976,392.8480580333848,junction
79,558411.4648007334,4867544.279895528,392.8210401301465,junction
80,558409.8926094978,4867549.007979808,392.7986231126904,junction
81,558408.3393187919,4867553.70693155,392.77446064289626,junction
82,558406.5126931925,4867559.297489351,392.75117860867635,junction
83,558404.8993149726,4867564.170877812,392.7283013744365,junction
84,558403.2976622417,4867568.99597627,392.70395600018816,junction
85,558401.5765516892,4867574.421198616,392.68135986360215,junction
86,558399.9576175212,4867579.192269396,392.6614675148028,junction
87,558398.3666861972,4867584.180715958,392.63951659071154,junction
88,558396.6022363331,4867589.4340077685,392.61382520692496,junction
89,558394.9875903956,4867594.205288661,392.5958187424396,junction
90,558393.5860775495,4867598.515587169,392.57630619182805,junction
91,558393.178323571,4867599.794000768,392.57137471174076,junction
92,558391.6067132538,4867604.541197387,392.54908357540137,junction
93,558390.0788668066,4867609.239851511,392.53023857140624,junction
94,558388.4600885921,4867614.217705047,392.51237488891553,junction
95,558387.1155318433,4867618.073406364,392.4940985093807,junction
96,558386.6915159039,4867619.468227372,392.4877957420838,junction
97,558385.1340254637,4867624.257454528,392.46885788803417,junction
98,558383.719841146,4867628.565220972,392.44978649515656,junction
99,558383.2627303514,4867629.808134753,392.44446907774164,junction
100,558381.6824066887,4867634.5700841155,392.42469171912694,junction
101,558380.1359616767,4867639.262207435,392.4060945635441,junction
102,558378.755453258,4867643.57951023,392.38920786445044,junction
103,558378.3224870005,4867644.84507144,392.386050303471,junction
104,558376.7322070504,4867649.587964418,392.3663138635086,junction
105,558375.1818678167,4867654.279360462,392.348095641319,junction
106,558373.804351856,4867658.597833411,392.3318488815635,junction
107,558373.3756575197,4867659.952781862,392.32689862411473,junction
108,558371.7681590116,4867664.673045159,392.3090411828125,junction
109,558370.2372978952,4867669.299516075,392.2914399119457,junction
110,558368.8805765804,4867673.525843595,392.2764980477599,junction
111,558368.2747284247,4867675.436805941,392.2691146168372,junction
112,558366.8750283368,4867679.546367665,392.25436467047865,junction
113,558365.2872339456,4867684.241671935,392.23663978554805,junction
114,558363.7591758036,4867688.95663888,392.2187882630788,junction
115,558363.3241184795,4867690.33212748,392.2139969747418,junction
116,558361.9580424991,4867694.361928947,392.1964167490954,junction
117,558360.3606907766,4867699.132722551,392.1818553700599,junction
118,558358.8365115548,4867703.832741108,392.1646598772429,junction
119,558358.3851115947,4867705.273060317,392.1606835258367,junction
120,558357.2026076919,4867708.85448149,392.14637246218,junction
121,558355.4001363519,4867714.049280513,392.1306530226417,junction
122,558353.8976169676,4867718.748182926,392.1131568196889,junction
123,558353.4646496929,4867720.149709572,392.1091201440193,junction
124,558351.9005416256,4867724.784680901,392.0905066417878,junction
125,558350.3368226876,4867729.418395909,392.0779558302284,junction
126,558348.9617915001,4867733.658191724,392.0629355473251,junction
127,558348.2805462372,4867735.782053701,392.05697571797924,junction
128,558346.9117197684,4867739.791962954,392.0399710898038,junction
129,558345.3789730369,4867744.436494482,392.02485697498116,junction
130,558343.9556676205,4867748.656892709,392.011490489212,junction
131,558343.3169564102,4867750.727622526,392.00649228332645,junction
132,558341.9932898923,4867754.597640972,391.9905872698436,junction
133,558340.439637783,4867759.310004028,391.97601411314685,junction
134,558338.8533593904,4867763.9974212255,391.96209288748184,junction
135,558338.4455277774,4867765.30880252,391.95865755729227,junction
136,558337.2996051176,4867768.893300986,391.94718481780797,junction
137,558335.4768887942,4867774.246370124,391.928786502065,junction
138,558333.8942573874,4867778.932856205,391.91551053652915,junction
139,558333.4610116073,4867780.316279057,391.9118969831344,junction
140,558332.3165065254,4867783.900151411,391.90079400385804,junction
141,558330.5271958157,4867789.263429673,391.8808867855478,junction
142,558328.9416185434,4867794.032677054,391.8678782891147,junction
143,558328.097970017,4867796.759876606,391.8621409555273,junction
144,558327.3482211335,4867798.911451723,391.8553441215509,junction
145,558325.579223524,4867804.220391056,391.83567443539397,junction
146,558324.040417887,4867808.914900786,391.8221146262164,junction
147,558323.2065095735,4867811.699958369,391.814913687178,junction
148,558322.4464655527,4867813.801408993,391.8098330282046,junction
149,558320.6099482484,4867819.297058255,391.79061921945254,junction
150,558319.0459753958,4867824.068772085,391.77709767843004,junction
151,558318.1706956957,4867826.790671074,391.7686469829049,junction
152,558317.397642352,4867828.926194865,391.76337074427374,junction
153,558315.5927917828,4867834.292668308,391.7454082693097,junction
154,558314.0549918325,4867839.07290911,391.73321779478334,junction
155,558313.1799955288,4867841.795898237,391.7251224547886,junction
156,558312.4031045019,4867843.92917142,391.7201214462525,junction
157,558310.6002634336,4867849.29740713,391.70272990223754,junction
158,558309.0659079538,4867854.077905484,391.69104835792467,junction
159,558308.190675627,4867856.801270589,391.68322900890087,junction
160,558307.4712862021,4867858.955530534,391.6767248664786,junction
161,558305.6482200177,4867864.243836183,391.6608643267107,junction
162,558304.1656835558,4867868.960714362,391.6481301781863,junction
163,558303.2462958558,4867871.719992662,391.6424770611052,junction
164,558302.5300340527,4867873.974153493,391.63180286635117,junction
165,558300.7023948428,4867879.262105788,391.61815563056086,junction
166,558299.2114637734,4867883.976896754,391.60645172351593,junction
167,558298.2922833859,4867886.737294419,391.6009716019522,junction
168,558297.5647007573,4867888.990969891,391.5909624694096,junction
169,558295.7562330886,4867894.221377139,391.5784370925125,junction
170,558294.2892042223,4867898.849184008,391.56746280355935,junction
171,558293.3940407819,4867901.574821633,391.5616905935847,junction
172,558292.7154446281,4867903.609889622,391.5556320399562,junction
173,558291.0206917184,4867908.520775117,391.54117053630233,junction
174,558289.385104473,4867913.665791129,391.5295630827026,junction
175,558288.264240604,4867917.0164003465,391.5225702493622,junction
176,558287.3445143924,4867919.729050089,391.5105491187758,junction
177,558285.7613047,4867924.360157833,391.5020721333787,junction
178,558284.2140708163,4867929.064578447,391.4901463484498,junction
179,558283.3148159127,4867931.8559443075,391.4842713495124,junction
180,558282.5899792172,4867934.019947658,391.4759293454343,junction
181,558280.9142200084,4867939.239055873,391.46030286908695,junction
182,558279.3228784319,4867943.864397481,391.45086127531215,junction
183,558278.4476975536,4867946.592208929,391.44601903154694,junction
184,558277.8123775455,4867948.512466373,391.4385056055403,junction
185,558276.1681746551,4867953.573195893,391.42397803811116,junction
186,558274.4241655205,4867958.649152452,391.41420754927464,junction
187,558273.3328639214,4867962.013491693,391.40767675753006,junction
188,558272.3836151877,4867964.73431904,391.3977756938194,junction
189,558270.9057971444,4867969.414738955,391.3864633987262,junction
190,558269.267186157,4867974.155268257,391.3776420441496,junction
191,558268.394043663,4867976.889065662,391.3727743912151,junction
192,558267.6552760644,4867979.047358428,391.3653722669046,junction
193,558265.9948655401,4867984.217639038,391.35221019985374,junction
194,558264.4168230235,4867988.899752715,391.3403248102609,junction
195,558263.2904396675,4867992.375733563,391.33399395598474,junction
196,558262.8465243101,4867993.664200574,391.3301353296241,junction
197,558261.2351760168,4867998.618505549,391.3177167833461,junction
198,558259.5324382626,4868003.655388205,391.30614692998137,junction
199,558258.4277169337,4868007.052088039,391.3005024426177,junction
200,558257.4777229646,4868009.74649581,391.29198513166193,junction
201,558255.9817886784,4868014.446051246,391.2825825901542,junction
202,558254.3514637405,4868019.18966363,391.2709628101202,junction
203,558253.44017557,4868021.908833565,391.2641046192603,junction
204,558252.7106664786,4868024.070060628,391.25933561774593,junction
205,558251.068399403,4868029.213917217,391.2495482265398,junction
206,558249.5246512458,4868033.942280565,391.2382238863302,junction
207,558248.4044730859,4868037.150197275,391.229445650686,junction
208,558247.9559086782,4868038.571229728,391.22369101765236,junction
209,558246.3149782644,4868043.648666615,391.2154376101719,junction
210,558244.6265905323,4868048.796659101,391.2044655011747,junction
211,558243.4680342134,4868052.069987583,391.19641190397044,junction
212,558242.5831319594,4868054.765547771,391.1891960563245,junction
213,558241.0249863679,4868059.6125842305,391.1810888000971,junction
214,558239.6959136567,4868063.672343529,391.172726096027,junction
215,558238.4928108436,4868067.080659834,391.16481008183325,junction
216,558237.6087792403,4868069.764574559,391.15793910780815,junction
217,558236.0509714695,4868074.604048374,391.15054238695217,junction
218,558234.5055422066,4868079.246604559,391.14022976955874,junction
219,558233.1419177608,4868083.274189333,391.13017277593207,junction
220,558232.8449459219,4868084.1206630645,391.12883785982893,junction
221,558231.2395711842,4868089.233405847,391.1175636226505,junction
222,558229.6566069121,4868093.993395889,391.1092320541721,junction
223,558228.0592049636,4868098.619785738,391.09814653558675,junction
224,558226.0599237619,4868104.789776612,391.0852523174212,junction
225,558224.6566590741,4868108.921746917,391.07524526361414,junction
226,558223.1194835121,4868113.470001438,391.0681348939589,junction
227,558222.6787142057,4868114.759391423,391.066224487398,junction
228,558221.0842208053,4868119.585461348,391.05485007088294,junction
229,558219.5446786465,4868124.26224371,391.04117886407,junction
230,558218.2217194882,4868128.198028657,391.036089389326,junction
231,558217.8931875495,4868129.140741477,391.0346953657575,junction
232,558216.1172392578,4868134.506390293,391.0245181313409,junction
233,558214.5400291327,4868139.26132651,391.0111842509186,junction
234,558213.218541495,4868143.195195888,391.00644393987443,junction
235,558212.8889654225,4868144.140795269,391.0050970692972,junction
236,558211.110654353,4868149.505653772,390.99542721963013,junction
237,558209.5339852938,4868154.259758109,390.98280182998093,junction
238,558208.2500916348,4868158.203519024,390.97431534928256,junction
239,558207.9191862121,4868159.152976745,390.9729983122353,junction
240,558206.079852864,4868164.498308967,390.9606508685152,junction
241,558204.5331108563,4868169.259933978,390.9522332345057,junction
242,558203.2422814654,4868173.199045859,390.9447136388629,junction
243,558202.9103595831,4868174.15102842,390.94344384613197,junction
244,558201.0763092121,4868179.498056089,390.9320448743296,junction
245,558199.5390465632,4868184.262302647,390.9228454737801,junction
246,558198.2341690877,4868188.194010639,390.9170843839896,junction
247,558197.9011402876,4868189.148768832,390.9158532328087,junction
248,558196.1039680437,4868194.5101021435,390.9009111352305,junction
249,558194.55354574,4868199.267794693,390.89337738822684,junction
250,558193.2431007829,4868203.195368391,390.88840477038104,junction
251,558192.9091104469,4868204.152515105,390.8872222982737,junction
252,558191.1062453466,4868209.511577533,390.87351529641535,junction
253,558189.5534701635,4868214.267745427,390.8664246845806,junction
254,558188.1946513326,4868218.174837246,390.8576784593301,junction
255,558187.8771759782,4868219.142367744,390.8544797183775,junction
256,558186.089470027,4868224.506544742,390.84650395201754,junction
257,558184.5660686799,4868229.272331806,390.8359425053326,junction
258,558183.2074411554,4868233.177352378,390.8286791451964,junction
259,558182.8890683505,4868234.131458072,390.82608085184324,junction
260,558181.086966153,4868239.516633289,390.81879909287505,junction
261,558179.5599970701,4868244.269198927,390.8078554490847,junction
262,558178.2048338967,4868248.173532039,390.80252193431204,junction
263,558177.8880612634,4868249.117028405,390.79998905638973,junction
264,558176.1141008283,4868254.528813503,390.78897554051144,junction
265,558174.5598049103,4868259.268386748,390.78152407668824,junction
266,558173.2285307873,4868263.179755534,390.7736048418095,junction
267,558172.9098803008,4868264.111848367,390.77179112992803,junction
268,558171.117462003,4868269.530569249,390.76259673377905,junction
269,558169.5163738097,4868274.252446315,390.7514348978853,junction
270,558168.2155885261,4868278.171639919,390.74735443778474,junction
271,558167.8986587953,4868279.095536768,390.74569006592316,junction
272,558166.0977765287,4868284.525019113,390.7370693767019,junction
273,558164.5253418077,4868289.256459414,390.72389226527486,junction
274,558163.2007754568,4868293.163088238,390.7229884612373,junction
275,558162.8994976601,4868294.083696261,390.7196489825185,junction
276,558161.1759324779,4868299.331876663,390.71034218467037,junction
277,558159.6066831555,4868304.005785388,390.7000384381843,junction
278,558158.4288229289,4868307.459651705,390.6967873056659,junction
279,558158.013016232,4868308.725254285,390.6943845814259,junction
280,558156.3768486044,4868313.518005742,390.68349857792157,junction
281,558154.6576044026,4868318.801587014,390.675560571237,junction
282,558153.4933875742,4868322.116912698,390.6721911908,junction
283,558152.6343071632,4868324.832238404,390.66752432813973,junction
284,558151.0513380078,4868329.5096111195,390.6530649258179,junction
285,558149.4970628009,4868334.240644388,390.6478044297775,junction
286,558148.1580425202,4868338.265691791,390.64413038038896,junction
287,558147.8824739436,4868339.048696491,390.6433253274594,junction
288,558146.1111119338,4868344.305252093,390.6311607919491,junction
289,558144.5626053328,4868348.992692272,390.62492794616765,junction
290,558143.3985457474,4868352.3564903345,390.6224846222263,junction
291,558142.93289847,4868353.70250578,390.6150453062302,junction
292,558140.9215157614,4868359.731921004,390.6061663302428,junction
293,558139.6015363339,4868363.8542628,390.59950770029286,junction
294,558138.4624896842,4868367.115224563,390.59617515000105,junction
295,558137.5859637178,4868369.678967721,390.5907389469385,junction
296,558135.9589182496,4868374.566353161,390.58414104202365,junction
297,558134.44413906,4868379.229555065,390.57478111726397,junction
298,558133.0911858116,4868383.232813768,390.56590141240645,junction
